efb2c5411d41439aa20062a60611d38b,A 3D model of a small wooden table with two drawers and two legs.
afefc3e00c9f4c54aa6fc3832c4706cf,A 3D rendering of a wooden wine rack and cabinet.
a80a7a309b92480fb28d0fd51d137f32,"A 3D rendering of a two-bedroom office-apartment with floor plans, featuring a roof and ceiling with two windows."
73edd0703bb548b6889735eb247337af,"A 3D model of a stone bench with a wall, roof, and fireplace."
1a5f9a77018f4700a36f34ca9e4209a8,A 3D model of a white chair.
77cd8a3f987e4198aa2abe2af2e2f7fc,A 3D model of a wooden chair.
3988d9294e1844f385c35621f210f88e,A 3D rendering of a small wooden cabin featuring a window with a roof and a wooden table and bench with black tops.
6027d5f62384487590a2e390620bd9e6,"A 3D model of a white and black table, arch, and chair set."
0ef28a5958af43d59e03cbdcd7509759,"A white 3D model featuring a carriage, cannon, wagon, cart, and chair."
0d9d0cf6f39448b2b2e99c634bb7beb7,White 3D toy wagon with a round table.
8d3efee97251426fae8bd5aaf88bd469,"3D models of a white laptop, knife, Nintendo DS Lite case, table, ceiling light fixture, and box."
2786b7849299482ba6767fd86b5a3bb7,3D model of a wooden folding chair
fe72cb4ca29c4b3fabe5df257fd2feff,"A 3D rendering of a white marble shelf with carved design, columns, and a bench."
1da5535b918541e1ad13ac9dc23e3b4b,3D rendering of a white table
cd0d064595a34dffa9c3238f8bd3fa95,A 3D rendering of a white kitchen cabinet in a small kitchen.
709d77e263594b62b8403051e226e63f,3D model of a white chair
d6840318306548beb090630159ec6edd,3D model of a microscope on a table
985e08a1c4164d8ca911731acdce3952,"A 3D model of a yellow chair with an armrest, backrest, and base."
51e173af16fc490a9b5e2a675fe669b9,"A 3D model of a table covered in various small objects, including balls, coffee beans, coins, bullets, buttons, and a board with holes."
40e7e83adc024411a17ff75dd5a3547f,A 3D model of a white shelf with a black handle and a hole in the middle.
048cbf86dc3e4ff4884dbc5aeb671e1a,"A 3D white object featuring a wall with a fence, a crate, a table, a box with railing and slats, and a shelving unit."
4af9e03b41de4692bca8668cc9983260,3D model of a white table with a glass plate and a hole in it.
